source,productid,mobilename,sellingprice,mrp,discountoffering,rating,url,scraped_at
flipkart,c9dbbd784b6bc,"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 256 GB)",20999,25999,19% off,4.5,https://www.flipkart.com/motorola-edge-60-fusion-5g-pantone-zephyr-256-gb/p/itmc9dbbd784b6bc?pid=MOBH9ARFURQ8U2ZF&lid=LSTMOBH9ARFURQ8U2ZF2HUBRS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_58&otracker=search&fm=organic&iid=en_EtLwEoK5P2yXQO-U8Kh0A7obfX-GM4rNyG62oQpGIoJILrJKANLJeq0MMQzWBOZtJRhFKSSBu7ZtL89xT_B3Lw%3D%3D&ppt=sp&ppn=sp&ssid=cw7v0d0ucw0000001759411986518&qH=eb4af0bf07c16429,2025-10-02T13:32:56.123465
flipkart,3a5653667cb9c,"vivo T4R 5G (Arctic White, 256 GB)",23499,26999,12% off,4.5,https://www.flipkart.com/vivo-t4r-5g-arctic-white-256-gb/p/itm3a5653667cb9c?pid=MOBHE49GATGKYHYD&lid=LSTMOBHE49GATGKYHYDJJDLKO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_59&otracker=search&fm=organic&iid=29ae2dd6-fbf2-4983-8153-629dd32c7d21.MOBHE49GATGKYHYD.SEARCH&ppt=sp&ppn=sp&ssid=cw7v0d0ucw0000001759411986518&qH=eb4af0bf07c16429,2025-10-02T13:32:56.123465
flipkart,46a119f176627,"CMF by Nothing Phone 2 Pro (White, 256 GB)",16999,24999,32% off,4.4,https://www.flipkart.com/cmf-nothing-phone-2-pro-white-256-gb/p/itm46a119f176627?pid=MOBHAUHAUDZUUQSF&lid=LSTMOBHAUHAUDZUUQSF5CFKOF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_60&otracker=search&fm=organic&iid=29ae2dd6-fbf2-4983-8153-629dd32c7d21.MOBHAUHAUDZUUQSF.SEARCH&ppt=sp&ppn=sp&ssid=cw7v0d0ucw0000001759411986518&qH=eb4af0bf07c16429,2025-10-02T13:32:56.123465
flipkart,c2634fd4daeb9,"vivo T4 5G (Phantom Grey, 256 GB)",22999,27999,17% off,4.5,https://www.flipkart.com/vivo-t4-5g-phantom-grey-256-gb/p/itmc2634fd4daeb9?pid=MOBHATXZGEAN2FWT&lid=LSTMOBHATXZGEAN2FWTXTUH1P&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_61&otracker=search&fm=organic&iid=en_EtLwEoK5P2yXQO-U8Kh0A7obfX-GM4rNyG62oQpGIoJPNcEtkMlWYvm1nvStdxUmX3KBRKO9btWvZCwlfyRUuA%3D%3D&ppt=sp&ppn=sp&ssid=cw7v0d0ucw0000001759411986518&qH=eb4af0bf07c16429,2025-10-02T13:32:56.123465
flipkart,d3af671af1e42,"Samsung Galaxy A35 5G (Awesome Iceblue, 256 GB)",19999,36999,45% off,4.4,https://www.flipkart.com/samsung-galaxy-a35-5g-awesome-iceblue-256-gb/p/itmd3af671af1e42?pid=MOBGYT2HYAAHS3ZR&lid=LSTMOBGYT2HYAAHS3ZRNFRJP2&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_62&otracker=search&fm=organic&iid=en_EtLwEoK5P2yXQO-U8Kh0A7obfX-GM4rNyG62oQpGIoIPpTjPnkGEqyzVMwLZ-e8ecDCp0NbXww11r7askxebcQ%3D%3D&ppt=sp&ppn=sp&ssid=cw7v0d0ucw0000001759411986518&qH=eb4af0bf07c16429,2025-10-02T13:32:56.123465
flipkart,6f2ebf6d205cf,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)",19999,24999,20% off,4.5,https://www.flipkart.com/oppo-k13-5g-7000mah-80w-supervooc-charger-in-the-box-icy-purple-256-gb/p/itm6f2ebf6d205cf?pid=MOBHB392HWDHA8HH&lid=LSTMOBHB392HWDHA8HHQOBNQP&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_63&otracker=search&fm=organic&iid=29ae2dd6-fbf2-4983-8153-629dd32c7d21.MOBHB392HWDHA8HH.SEARCH&ppt=sp&ppn=sp&ssid=cw7v0d0ucw0000001759411986518&qH=eb4af0bf07c16429,2025-10-02T13:32:56.123465
flipkart,ab5a4b09b6ccc,"realme P3x 5G (Midnight Blue, 128 GB)",11699,17999,35% off,4.4,https://www.flipkart.com/realme-p3x-5g-midnight-blue-128-gb/p/itmab5a4b09b6ccc?pid=MOBH8VGVTPGFVHEX&lid=LSTMOBH8VGVTPGFVHEX1Z6RGO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_66&otracker=search&fm=organic&iid=29ae2dd6-fbf2-4983-8153-629dd32c7d21.MOBH8VGVTPGFVHEX.SEARCH&ppt=sp&ppn=sp&ssid=cw7v0d0ucw0000001759411986518&qH=eb4af0bf07c16429,2025-10-02T13:32:56.123465
flipkart,a79107312a42f,"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 256 GB)",22999,27999,17% off,4.5,https://www.flipkart.com/motorola-edge-60-fusion-5g-pantone-zephyr-256-gb/p/itma79107312a42f?pid=MOBH9AQZAFGM3U6Q&lid=LSTMOBH9AQZAFGM3U6Q0CEQSM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_67&otracker=search&fm=organic&iid=en_EtLwEoK5P2yXQO-U8Kh0A7obfX-GM4rNyG62oQpGIoKQFTgpe2R1WU_WDiPMTn1uRecgMZpdyFOswiUwJPikcA%3D%3D&ppt=sp&ppn=sp&ssid=cw7v0d0ucw0000001759411986518&qH=eb4af0bf07c16429,2025-10-02T13:32:56.123465
flipkart,e41a54752cc21,"realme P4 Pro 5G (Birch Wood, 128 GB)",22999,28999,20% off,4.4,https://www.flipkart.com/realme-p4-pro-5g-birch-wood-128-gb/p/itme41a54752cc21?pid=MOBHERXKZCGAA4QC&lid=LSTMOBHERXKZCGAA4QC8MGB6B&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_68&otracker=search&fm=organic&iid=en_EtLwEoK5P2yXQO-U8Kh0A7obfX-GM4rNyG62oQpGIoK6m0_uSHfNL4sKKJGvO6BxiYJfUUkO-1PeLVIYSX7eqA%3D%3D&ppt=sp&ppn=sp&ssid=cw7v0d0ucw0000001759411986518&qH=eb4af0bf07c16429,2025-10-02T13:32:56.123465
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)",12499,16999,26% off,4.5,https://www.flipkart.com/oppo-k13x-5g-6000mah-45w-supervooc-charger-ai-midnight-violet-128-gb/p/itm62b2e62fbb43e?pid=MOBHDY9PPU2NRCZH&lid=LSTMOBHDY9PPU2NRCZHVD1YM4&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_70&otracker=search&fm=organic&iid=29ae2dd6-fbf2-4983-8153-629dd32c7d21.MOBHDY9PPU2NRCZH.SEARCH&ppt=sp&ppn=sp&ssid=cw7v0d0ucw0000001759411986518&qH=eb4af0bf07c16429,2025-10-02T13:32:56.123465
flipkart,9684d2fe9201e,"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)",17999,33999,47% off,4.4,https://www.flipkart.com/samsung-galaxy-a35-5g-awesome-iceblue-128-gb/p/itm9684d2fe9201e?pid=MOBGYT2HEYWFCG8Q&lid=LSTMOBGYT2HEYWFCG8QGJ3RJ4&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_71&otracker=search&fm=organic&iid=en_EtLwEoK5P2yXQO-U8Kh0A7obfX-GM4rNyG62oQpGIoLT3AN3kpr0t-w-sC0WRkyiL-qzqYJBa8bxQHRpKw4JeA%3D%3D&ppt=sp&ppn=sp&ssid=cw7v0d0ucw0000001759411986518&qH=eb4af0bf07c16429,2025-10-02T13:32:56.123465
flipkart,637e7bca8a605,"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)",22999,27999,17% off,4.5,https://www.flipkart.com/motorola-edge-60-fusion-5g-pantone-slipstream-256-gb/p/itm637e7bca8a605?pid=MOBH9AQZANYGWEQH&lid=LSTMOBH9AQZANYGWEQHJDC6ZW&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_72&otracker=search&fm=organic&iid=en_EtLwEoK5P2yXQO-U8Kh0A7obfX-GM4rNyG62oQpGIoK7WIwWqZS6J9bZxv8llj7SKWmtsTZSPjN9TLEvflw7z4E8waCTrWcncKeK_ydPfoM%3D&ppt=sp&ppn=sp&ssid=cw7v0d0ucw0000001759411986518&qH=eb4af0bf07c16429,2025-10-02T13:32:56.123465
