source,productid,mobilename,userid,review,rating,reviewdate
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Rajesh,...back side logo.5. Performance is good.6. The camera is good.7. Phone is light weight.8. Display colors,,2 months ago
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Obayeed Hasan,...Due to camera quality it will spoil the motorola reputation.,,14 days ago
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Mohammed Rafiq,...The camera is awesome and gives best quality images,,4 days ago
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Sangita  Dey,"...the best smartphone in this price range.The camera and video quality is fabulous.The battery consumption is ok, I can say",,2 months ago
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Faraz Uddin,...Camera quality is disappointing.,,1 day ago
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Swapnil Tadam,...mobile for my father before two monthsCamera quality is goodBattery backup is goodDisplay quality was,,1 month ago
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Manbhawan  Singh,...Camera quality good but picture pixal not clear during zoom.,,8 days ago
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Prashanta Sarkar,...Camera zoom is 10x but when picture is taken it does  not look good,,2 days ago
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Vivek Kumar,"...Camera is good especially in portrait mode but lack in small object that why I cut 1 star , video recording is very good.",,20 days ago
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Govindaraju G B,...Excellent product 5/5Camera 4.5/5Battery 4/5Performance 4.5/5Display 5/5,,1 month ago
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Risha Sarkar,...Camera is awesome 💯Specially front camera is 10/10A sligh,,2 months ago
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Flipkart Customer,...Very poor camera quality.Overall performance is bad,,23 days ago
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Ramesh K,...Super reasonable but back camera low quality,,8 days ago
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Ravindra velip,...Nic camera n very slim phone,,2 months ago
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Prakash Kumar,...hourse puls Minutes with Google 33w ChargerCamera best phoneBut display normal,,3 days ago
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Sudutta Mandal,"...Front camera's Portrait Mode has dynamic range handling issue, no touch to focus or exposure control till now.",,2 months ago
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Anonymous,,,
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Jaita  Sardar,...😎...5.And also it has  50+2 megapixel rear camera which takes better shots and front camera is quite good enou,,2 months ago
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",ISHWARYA  CHERUVU,"...Performance is poor ,design seems familiar.Low camera quality.Could be better",,22 days ago
