source,productid,category,mobilename,sellingprice,mrp,discountoffering,rating,url,scraped_at
flipkart,COMH9SJ9Q8ZZHFN7,laptops,"ASUS Vivobook 15 (2025) with Touchscreen & Backlit Keyboard, Intel Core i3 13th Gen 1315U - (8 GB/512 ...",44990.0,51990.0,13% off,,https://www.flipkart.com/asus-vivobook-15-2025-touchscreen-backlit-keyboard-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-x1504va-e81599ws-2-1-laptop/p/itm72fc7af14df5e?pid=COMH9SJ9Q8ZZHFN7&lid=LSTCOMH9SJ9Q8ZZHFN7V5EST1&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_23&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMH9SJ9Q8ZZHFN7.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMHH6Q4E6HYUURM,laptops,HP 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0805AU Thin and Light Lapto...,58952.0,87179.0,32% off,,https://www.flipkart.com/hp-15-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-15-fc0805au-thin-light-laptop/p/itm044828973e180?pid=COMHH6Q4E6HYUURM&lid=LSTCOMHH6Q4E6HYUURMKTTSEK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_24&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMHH6Q4E6HYUURM.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMHNNKQR9FURZZQ,laptops,Acer Aspire 5 Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) A514-54H Notebook,69890.0,99990.0,30% off,,https://www.flipkart.com/acer-aspire-5-intel-core-ultra-125h-16-gb-512-gb-ssd-windows-11-home-a514-54h-notebook/p/itmd237a2b9aa3ad?pid=COMHNNKQR9FURZZQ&lid=LSTCOMHNNKQR9FURZZQIVFW7Q&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_25&otracker=search&fm=organic&iid=6c9e8837-53ce-4a0a-b863-eb07d60eedba.COMHNNKQR9FURZZQ.SEARCH&ppt=sp&ppn=sp&ssid=9fee3qoudc0000001788947184432&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMH2TPSM9V7V38F,laptops,Acer Aspire Lite AMD Ryzen 3 Quad Core 5400U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...,46990.0,49990.0,6% off,,https://www.flipkart.com/acer-aspire-lite-amd-ryzen-3-quad-core-5400u-8-gb-512-gb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm1bc0bcb4598e7?pid=COMH2TPSM9V7V38F&lid=LSTCOMH2TPSM9V7V38FUK0ITB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_26&otracker=search&fm=organic&iid=6c9e8837-53ce-4a0a-b863-eb07d60eedba.COMH2TPSM9V7V38F.SEARCH&ppt=sp&ppn=sp&ssid=9fee3qoudc0000001788947184432&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMHFZYZFVD2MCAB,laptops,Acer Aspire 3 Intel Celeron Dual Core N4500 - (12 GB/512 GB SSD/Windows 11 Home) A324-45 Thin and Ligh...,24990.0,32999.0,24% off,,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-n4500-12-gb-512-gb-ssd-windows-11-home-a324-45-thin-light-laptop/p/itmbbfe217e40d59?pid=COMHFZYZFVD2MCAB&lid=LSTCOMHFZYZFVD2MCABTLQNKG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_29&otracker=search&fm=organic&iid=6c9e8837-53ce-4a0a-b863-eb07d60eedba.COMHFZYZFVD2MCAB.SEARCH&ppt=sp&ppn=sp&ssid=9fee3qoudc0000001788947184432&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMH7NCZY2QDJ5Z4,laptops,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,36882.0,45990.0,19% off,,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-512-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZY2QDJ5Z4&lid=LSTCOMH7NCZY2QDJ5Z4UF1VE8&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_30&otracker=search&fm=organic&iid=6c9e8837-53ce-4a0a-b863-eb07d60eedba.COMH7NCZY2QDJ5Z4.SEARCH&ppt=sp&ppn=sp&ssid=9fee3qoudc0000001788947184432&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMHG77QAFYQFUQG,laptops,HP 255 G10 (2025) AMD Athlon Dual Core 7120U - (8 GB/256 GB SSD/Windows 11 Pro) 255 G10 Thin and Light...,47999.0,50128.0,4% off,,https://www.flipkart.com/hp-255-g10-2025-amd-athlon-dual-core-7120u-8-gb-256-gb-ssd-windows-11-pro-thin-light-laptop/p/itm7e340cc25ba7f?pid=COMHG77QAFYQFUQG&lid=LSTCOMHG77QAFYQFUQG55MDY7&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_31&otracker=search&fm=organic&iid=6c9e8837-53ce-4a0a-b863-eb07d60eedba.COMHG77QAFYQFUQG.SEARCH&ppt=sp&ppn=sp&ssid=9fee3qoudc0000001788947184432&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMHMPEEGVJYYZ2Z,laptops,Acer Aspire 3 (i3 14th Gen) Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Notebook,54990.0,94999.0,42% off,,https://www.flipkart.com/acer-aspire-3-i3-14th-gen-intel-core-100u-8-gb-512-gb-ssd-windows-11-home-a324-53-notebook/p/itmcc145dc1a3908?pid=COMHMPEEGVJYYZ2Z&lid=LSTCOMHMPEEGVJYYZ2ZUKNNI5&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_32&otracker=search&fm=organic&iid=6c9e8837-53ce-4a0a-b863-eb07d60eedba.COMHMPEEGVJYYZ2Z.SEARCH&ppt=sp&ppn=sp&ssid=9fee3qoudc0000001788947184432&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMHZQX4YFJWRPYZ,laptops,Apple Macbook Neo A18 Pro(2026) A18 Pro - (8 GB/256 GB SSD/Tahoe) MHFA4HN/A,79900.0,,,,https://www.flipkart.com/apple-macbook-neo-a18-pro-2026-pro-8-gb-256-gb-ssd-tahoe-mhfa4hn-a/p/itm9fce39e65bd7e?pid=COMHZQX4YFJWRPYZ&lid=LSTCOMHZQX4YFJWRPYZF07JS4&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_33&otracker=search&fm=organic&iid=6c9e8837-53ce-4a0a-b863-eb07d60eedba.COMHZQX4YFJWRPYZ.SEARCH&ppt=sp&ppn=sp&ssid=9fee3qoudc0000001788947184432&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMH7NCZ8BARKXFF,laptops,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,38500.0,48999.0,21% off,,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-256-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZ8BARKXFF&lid=LSTCOMH7NCZ8BARKXFFSLKD7A&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_34&otracker=search&fm=organic&iid=6c9e8837-53ce-4a0a-b863-eb07d60eedba.COMH7NCZ8BARKXFF.SEARCH&ppt=sp&ppn=sp&ssid=9fee3qoudc0000001788947184432&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMHDG7CFDWVKYMZ,laptops,"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...",69900.0,75000.0,6% off,,https://www.flipkart.com/asus-vivobook-15-2025-i5-14th-gen-mso-2024-m365-basic-backlit-keyboard-intel-core-5-120u-16-gb-512-gb-ssd-windows-11-home-x1504vap-nj2862ws-x1504vap-bq224ws-thin-light-laptop/p/itm774438efecaf0?pid=COMHDG7CFDWVKYMZ&lid=LSTCOMHDG7CFDWVKYMZSGRBRE&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_35&otracker=search&fm=organic&iid=6c9e8837-53ce-4a0a-b863-eb07d60eedba.COMHDG7CFDWVKYMZ.SEARCH&ppt=sp&ppn=sp&ssid=9fee3qoudc0000001788947184432&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMHGWQY66YNGVFK,laptops,ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 13th Gen - (8 GB/512 GB SSD/Windo...,44990.0,75990.0,40% off,,https://www.flipkart.com/asus-vivobook-15-2025-office-2024-m365-basic-intel-core-i3-13th-gen-8-gb-512-gb-ssd-windows-11-home-x1504va-d5321ws-thin-light-laptop/p/itma044347a6922b?pid=COMHGWQY66YNGVFK&lid=LSTCOMHGWQY66YNGVFKYKVYYT&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_36&otracker=search&fm=organic&iid=6c9e8837-53ce-4a0a-b863-eb07d60eedba.COMHGWQY66YNGVFK.SEARCH&ppt=sp&ppn=sp&ssid=9fee3qoudc0000001788947184432&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
