productid,category,product_name,source,price,mrp,discount,rating,scraped_at
COMHZQX4TQ3P9H3Z,laptops,Apple Macbook Neo A18 Pro(2026) A18 Pro - (8 GB/512 GB SSD/Tahoe) MHFG4HN/A,flipkart,89900,,,,2026-09-09T09:46:13.810502
COMHF8KZGUMD7GHG,laptops,Acer Nitro V 15 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,flipkart,104990,114999,8% off,,2026-09-09T09:46:13.810502
COMGTGFGB8GK3NV7,laptops,Acer ‎Acer One 14 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) A114-43 Thin and Lig...,flipkart,45502,49990,8% off,,2026-09-09T09:46:13.810502
COMHDWZ63ZXXJTNF,laptops,DELL Inspiron 15 (Core i3 14th Gen) Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) DC15250 Thin...,flipkart,57490,62500,8% off,,2026-09-09T09:46:13.810502
COMH743DRRNQYDSH,laptops,HP 255 G10 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 250 G10 Thin and Lig...,flipkart,49890,55590,10% off,,2026-09-09T09:46:13.810502
COMHGEUYS4ZYZU3R,laptops,Acer Aspire 7 (i7 14th Gen) Intel Core 7 240H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,flipkart,99999,,,,2026-09-09T09:46:13.810502
COMH8EPFHZRD9YDC,laptops,DELL 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,flipkart,55990,,,,2026-09-09T09:46:13.810502
COMHN4F7HVEHFUYW,laptops,ASUS Intel Core N Intel Processor N50 - (8 GB/128 GB EMMC Storage/Chrome OS) CX1405CTA-S60622 Chromebo...,flipkart,39499,39990,1% off,,2026-09-09T09:46:13.810502
COMHHAFFVHDWM5QB,laptops,ASUS Vivobook 15 (2026) with Office 2024 + M365 Basic(i3 14th Gen) Intel Core 3 14th Gen 100U - (8 GB/...,flipkart,59990,84990,29% off,,2026-09-09T09:46:13.810502
COMHBFRJJPDPHZ2H,laptops,HP Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0569TU Thin and Light Laptop,flipkart,57890,69990,17% off,,2026-09-09T09:46:13.810502
COMHE4ATFWNVHXHS,laptops,Samsung Galaxy Book4 Edge Series Copilot AI-PC Full Metal Chasis Snapdragon X - (16 GB/512 GB SSD/Wind...,flipkart,74990,92390,18% off,,2026-09-09T10:13:19.274851
COMHA9FK8YXVUUWA,laptops,Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 100e Chromebo...,flipkart,20990,25100,16% off,,2026-09-09T10:13:19.274851
COMHD8BGH99YFMNR,laptops,Neopticon BrowseBook Intel Celeron Dual Core N4020 - (4 GB/256 GB SSD/Windows 11 Home) BBN40425614 Lap...,flipkart,24999,29533,15% off,,2026-09-09T10:13:19.274851
COMHKQA3FFDKKNHZ,laptops,ASUS Chromebook CX15 Intel Celeron Dual Core N50 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1505CTA-S7025...,flipkart,24990,,,,2026-09-09T10:13:19.274851
COMHBFRJEWGN4FMY,laptops,HP MSO 2024 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0574TU / 15 - fd066...,flipkart,50903,,,,2026-09-09T10:13:19.274851
COMHNHH8FBHVAY2N,laptops,ASUS ROG Zephyrus G16 OLED (2026) Intel Core Ultra 9 386H - (32 GB/2 TB SSD/Windows 11 Home/12 GB Grap...,flipkart,489990,593990,17% off,,2026-09-09T10:13:19.274851
COMHCC7ADKEWZPSJ,laptops,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,flipkart,33990,49990,32% off,,2026-09-09T10:13:19.274851
COMHFSGXHHSXD7MF,laptops,DELL 14 Microsoft Office Home 2024 Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5441 Thi...,flipkart,64990,87704,25% off,,2026-09-09T10:13:19.274851
COMGT846VD2DQBG4,laptops,Primebook Wifi (2026 Model) MediaTek MT8183 - (4 GB/64 GB EMMC Storage/Prime OS) PB Wifi Thin and Ligh...,flipkart,17490,24990,30% off,,2026-09-09T10:13:19.274851
COMHZZG7M4JZ5KZS,laptops,Acer Chromebook MediaTek Kompanio 540 - (4 GB/128 GB EMMC Storage/Chrome OS) CB315-8H Chromebook,flipkart,34900,52999,34% off,,2026-09-09T10:13:19.274851
COMGMV6VQPNPGCBW,laptops,MSI Modern 14 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-445IN / ...,flipkart,44990,,,,2026-09-09T10:13:19.274851
COMH6BCGNK3NGTE4,laptops,WarnerCann Hi5 pro Intel Core i5 12th Gen - (8 GB/256 GB SSD/Windows 11 Pro) Hi5 Pro Business Laptop B...,flipkart,34566,56000,38% off,,2026-09-09T10:13:19.274851
COMGZUYDFZXHWYWZ,laptops,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,flipkart,60990,78189,21% off,,2026-09-09T10:13:19.274851
COMH2TPSVSGUVKY4,laptops,Acer Aspire Lite AMD Ryzen 3 Quad Core 5400U - (8 GB/256 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...,flipkart,39990,44990,11% off,,2026-09-09T10:13:19.274851
COMHKQA3R42GHHJF,laptops,ASUS Chromebook CX14 Intel Celeron Dual Core N50 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1405CTA-S6062...,flipkart,24402,28990,15% off,,2026-09-09T10:13:19.274851
COMH8Z2QRWQQZTCJ,laptops,ASUS Expertbook P1 with 1 Yr ADP(i3 14th Gen) Intel Core 3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 1...,flipkart,47990,69990,31% off,,2026-09-09T10:13:19.274851
COMH2TPSM9V7V38F,laptops,Acer Aspire Lite AMD Ryzen 3 Quad Core 5400U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...,flipkart,46990,49990,6% off,,2026-09-09T10:13:19.274851
COMH4B6CGZKHKUV3,laptops,Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,flipkart,49990,66999,25% off,,2026-09-09T10:13:19.274851
COMH7NCZGGGWQC4W,laptops,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,flipkart,35500,49990,28% off,,2026-09-09T10:13:19.274851
COMHCYMG83BGNQHH,laptops,Lenovo Chromebook 11IJL9 Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) Chromeboo...,flipkart,16990,36502,53% off,,2026-09-09T10:13:19.274851
COMHH6Q4E6HYUURM,laptops,HP 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0805AU Thin and Light Lapto...,flipkart,58952,87179,32% off,,2026-09-09T10:13:19.274851
COMH397XPF4Z3BMX,laptops,Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15 - 4...,flipkart,54990,72999,24% off,,2026-09-09T10:13:19.274851
