productid,category,product_name,review_count,n_price_points,price_volatility,norm_reviews,norm_volatility,composite_score
COMHGWQY66YNGVFK,laptops,ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 13th Gen - (8 GB/512 GB SSD/Windo...,0,2,,0.0,0.0,0.0
COMHGYAFCZG8YRYS,laptops,ASUS ExpertBook P1 (i5 14th Gen) with 1 Yr ADP Intel Core 5 210H - (16 GB/512 GB SSD/Windows 11 Home) ...,0,1,,0.0,0.0,0.0
COMHH6Q4E6HYUURM,laptops,HP 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0805AU Thin and Light Lapto...,0,2,,0.0,0.0,0.0
COMHHAFFVHDWM5QB,laptops,ASUS Vivobook 15 (2026) with Office 2024 + M365 Basic(i3 14th Gen) Intel Core 3 14th Gen 100U - (8 GB/...,0,1,,0.0,0.0,0.0
COMHHAFFYEGZUXG8,laptops,"ASUS Vivobook 14 Flip OLED (2026) with Touch Screen, Metallic Design, Intel Core Ultra 5 226V - (16 GB...",0,2,,0.0,0.0,0.0
COMHHNH8QYHRSTCG,laptops,ASUS TUF Gaming A15 (2026) AMD Ryzen 7 170 - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,0,2,,0.0,0.0,0.0
COMHHNNZKTNAND2A,laptops,Lenovo IdeaPad Slim 3 with 1Year ADP AMD Ryzen 5 40 - (16 GB/512 GB SSD/Windows 11 Home) 15AMN8 Laptop,0,1,,0.0,0.0,0.0
COMHHT9GCKNHQSZZ,laptops,ASUS Expertbook AMD Ryzen 5 Hexa Core 150 - (16 GB/512 GB SSD/Windows 11 Home) PM1503CDA-S70546WS Lapt...,0,2,,0.0,0.0,0.0
COMHK4F734GZWHFM,laptops,HP 15 (i3 14th Gen) Intel Core 3 100U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0885TU Thin and Light ...,0,2,,0.0,0.0,0.0
COMHK55FMC67NQ5V,laptops,HP MS Office 2024 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) 15-fr0045TU Thin ...,0,2,,0.0,0.0,0.0
COMHK77SZSZHTEV7,laptops,HP Victus (i5 14th Gen) Intel Core 5 210 H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...,0,1,,0.0,0.0,0.0
COMHKQA3FFDKKNHZ,laptops,ASUS Chromebook CX15 Intel Celeron Dual Core N50 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1505CTA-S7025...,0,2,,0.0,0.0,0.0
